GENDER,WEIGHT,AGE_WEEKS,Age2,GENOTYPE,RUNNO,index,civmid
2,29.3,88.1,7761.61,2,N51124,1,130212-1:1 
2,28.5,94,8836,2,N51130,2,130213-1:1 
1,28.7,68.7,4719.69,2,N51133,8,130828-3:1 
1,59.4,68.7,4719.69,2,N51136,7,130828-4:1 
2,27.9,61.7,3806.89,2,N51201,11,130930-2:1 
2,29.7,61.7,3806.89,2,N51234,10,130930-1:1 
1,28.1,50,2500,2,N51241,12,130123-1:1 
1,37.4,48.3,2332.89,2,N51252,13,130111-1:1 
1,33.7,68.9,4747.21,2,N51282,9,130604-2:1 
2,30,78,6084,2,N51388,6,140227-1:1
2,37,78,6084,2,N51390,5,140227-2:1
2,34.8,78,6084,2,N51392,4,140227-3:1
2,33.1,78,6084,2,N51393,3,140227-4:1 
2,39.9,63,3969,1,N51193,21,131001-4:1 
1,33.9,62.7,3931.29,1,N51211,19,131001-5:1 
2,29.9,62.7,3931.29,1,N51221,20,131001-6:1 
1,33,67.7,4583.29,1,N51231,16,130911-1:1 
1,40,75.4,5685.16,1,N51383,14,140228-1:1 
1,49,75.4,5685.16,1,N51386,15,140228-2:1 
2,33.1,62,3844,1,N51404,17,140313-1:1 
2,23.2,62,3844,1,N51406,18,140313-2:1 
1,34.9,95,9025,1,N51616,26,141009-3:1 
1,37.5,95,9025,1,N51620,27,141009-2:1 
1,31.3,95,9025,1,N51622,28,141009-1:1
2,28.9,68,4624,0,N51131,24,130904-1:1 
1,33.7,63,3969,0,N51151,23,131001-3:1
1,35.5,68,4624,0,N51164,25,130904-2:1
2,30.5,65,4225,0,N51182,22,130911-2:1 
