Number,Structure,Abbreviation,voxcount,volume,x,y,z,,,,,,,volume,x_caudaL_rostral,y_Right_left,z_infgerior_superior,volume_voxels,volume_mm3
2,_1_CingulateCortexArea24a,A24a_L,24865,1.97264752,6.1013064,11.514589,6.5666046,1,0,0,1,1,24865,0.98632376,268.15,150.07,153.5,12089,0.96116
2,_1_CingulateCortexArea24a,A24a_R,24865,1.97264752,6.1013064,11.514589,6.5666046,1,0,0,1,1,24865,0.98632376,268.15,134.93,153.5,12089,0.96116
3,_2_CingulateCortexArea24a__prime__,A24aPrime_L,10607,0.841498984,6.1287222,9.8263226,7.3873653,2,0,0,2,2,21214,0.420749492,228.71,148.91,172.76,4806,0.38211
3,_2_CingulateCortexArea24a__prime__,A24aPrime_R,10607,0.841498984,6.1287222,9.8263226,7.3873653,2,0,0,2,2,21214,0.420749492,228.71,136.09,172.76,4806,0.38211
4,_3_Cingulate_Cortex__Area_24b,A24b_L,23367,1.85380473,6.1108522,11.245997,7.4394045,3,0,0,3,3,70101,0.926902365,261.91,150.23,173.8,11079,0.88086
4,_3_Cingulate_Cortex__Area_24b,A24b_R,23367,1.85380473,6.1108522,11.245997,7.4394045,3,0,0,3,3,70101,0.926902365,261.91,134.77,173.8,11079,0.88086
5,_4_Cingulate_Cortex__Area_24b__prime__,A29bPrime_L,8284,0.657205391,6.1289043,9.7132254,7.9852843,4,0,0,4,4,33136,0.328602696,225.96,149.43,186.6,3849,0.30602
5,_4_Cingulate_Cortex__Area_24b__prime__,A29bPrime_R,8284,0.657205391,6.1289043,9.7132254,7.9852843,4,0,0,4,4,33136,0.328602696,225.96,135.57,186.6,3849,0.30602
6,_5_Cingulate_Cortex__Area_29a,A29a_L,7182,0.569778986,6.1794515,7.4962149,7.3489361,5,0,0,5,5,35910,0.284889493,174.46,155.99,172.2,3485,0.27708
6,_5_Cingulate_Cortex__Area_29a,A29a_R,7182,0.569778986,6.1794515,7.4962149,7.3489361,5,0,0,5,5,35910,0.284889493,174.46,129.01,172.2,3485,0.27708
7,_6_Cingulate_Cortex__Area_29b,A29b_L,5206,0.413014397,6.1058517,6.7397203,7.6013803,6,0,0,6,6,31236,0.206507199,156.66,165.6,177.88,2719,0.21618
7,_6_Cingulate_Cortex__Area_29b,A29b_R,5206,0.413014397,6.1058517,6.7397203,7.6013803,6,0,0,6,6,31236,0.206507199,156.66,119.4,177.88,2719,0.21618
8,_7_Cingulate_Cortex__Area_29c,A29c_L,25563,2.028022866,6.1518755,8.2172394,7.8645711,7,0,0,7,7,178941,1.014011433,191.27,148.74,183.76,11065,0.87974
8,_7_Cingulate_Cortex__Area_29c,A29c_R,25563,2.028022866,6.1518755,8.2172394,7.8645711,7,0,0,7,7,178941,1.014011433,191.27,136.26,183.76,11065,0.87974
9,_8_Cingulate_Cortex_Area_30,A30_L,42255,3.352271103,6.1273112,7.4629631,8.0158415,8,0,0,8,8,338040,1.676135552,173.08,163.38,186.88,21006,1.6701
9,_8_Cingulate_Cortex_Area_30,A30_R,42255,3.352271103,6.1273112,7.4629631,8.0158415,8,0,0,8,8,338040,1.676135552,173.08,121.62,186.88,21006,1.6701
10,_9_Cingulate_Cortex__Area_32,A32_L,32544,2.581855657,6.0927582,12.718763,6.9074125,9,0,0,9,9,292896,1.290927829,296.08,150.9,161.7,16007,1.2727
10,_9_Cingulate_Cortex__Area_32,A32_R,32544,2.581855657,6.0927582,12.718763,6.9074125,9,0,0,9,9,292896,1.290927829,296.08,134.1,161.7,16007,1.2727
11,_10_Primary_Auditory_Cortex,Au1_l,21489,1.704814903,5.9809179,7.7709746,6.563776,10,0,0,10,10,214890,0.852407452,180.63,242.8,152.68,11074,0.88046
11,_10_Primary_Auditory_Cortex,Au1_R,21489,1.704814903,5.9809179,7.7709746,6.563776,10,0,0,10,10,214890,0.852407452,180.63,42.196,152.68,11074,0.88046
12,_11_Secondary_Auditory_Cortex__Dorsal_Part,AuD_L,22555,1.789385273,6.1203475,7.8939571,6.9967999,11,0,0,11,11,248105,0.894692637,183.7,235.4,162.71,11282,0.897
12,_11_Secondary_Auditory_Cortex__Dorsal_Part,AuD_R,22555,1.789385273,6.1203475,7.8939571,6.9967999,11,0,0,11,11,248105,0.894692637,183.7,49.595,162.71,11282,0.897
13,_12_Secondary_Auditory_Cortex__Ventral_Part,AuV_L,23763,1.885221115,6.3313417,8.1520996,6.0725036,12,0,0,12,12,285156,0.942610558,189.69,247.05,140.67,11382,0.90495
13,_12_Secondary_Auditory_Cortex__Ventral_Part,AuV_R,23763,1.885221115,6.3313417,8.1520996,6.0725036,12,0,0,12,12,285156,0.942610558,189.69,37.946,140.67,11382,0.90495
14,_13_dorsolateral_orbital_cortex,DLO_L,9592,0.760974664,6.0882397,13.3711,5.6814384,13,0,0,13,13,124696,0.380487332,310.9,193.32,132.41,4834,0.38434
14,_13_dorsolateral_orbital_cortex,DLO_R,9592,0.760974664,6.0882397,13.3711,5.6814384,13,0,0,13,13,124696,0.380487332,310.9,91.683,132.41,4834,0.38434
15,_14_frontal_cortex__area_3,Fr3_L,15315,1.215004897,6.1641593,12.48221,6.3083725,14,0,0,14,14,214410,0.607502449,290.48,204.51,147.14,7521,0.59797
15,_14_frontal_cortex__area_3,Fr3_R,15315,1.215004897,6.1641593,12.48221,6.3083725,14,0,0,14,14,214410,0.607502449,290.48,80.492,147.14,7521,0.59797
16,_15_frontal_association_cortex,FrA_L,106037,8.412371812,6.0575285,13.435517,6.9796357,15,2.65E-07,7.03E-14,15,15,1590555,4.206185906,312.33,182.87,163.08,53705,4.2699
16,_15_frontal_association_cortex,FrA_R,106037,8.412371812,6.0575285,13.435517,6.9796357,15,2.65E-07,7.03E-14,15,15,1590555,4.206185906,312.33,102.13,163.08,53705,4.2699
17,_16_insular_cortex,Ins_L,107250,8.508604325,6.3033242,11.346954,4.8802772,16,0,0,16,16,1716000,4.254302163,264.59,228.09,113.66,51236,4.0736
17,_16_insular_cortex,Ins_R,107250,8.508604325,6.3033242,11.346954,4.8802772,16,0,0,16,16,1716000,4.254302163,264.59,56.913,113.66,51236,4.0736
18,_17_lateral_orbital_cortex,LO_L,44798,3.554018243,6.1108541,13.152851,5.7879348,17,0,0,17,17,761566,1.777009122,306.38,181.24,135.7,22393,1.7804
18,_17_lateral_orbital_cortex,LO_R,44798,3.554018243,6.1108541,13.152851,5.7879348,17,0,0,17,17,761566,1.777009122,306.38,103.76,135.7,22393,1.7804
19,_18_lateral_parietal_association_cortex,LPtA_L,3315,0.262993225,6.1440477,8.3650169,8.1609058,18,0,0,18,18,59670,0.131496613,194.62,182,190.41,1648,0.13103
19,_18_lateral_parietal_association_cortex,Lpta_R,3315,0.262993225,6.1440477,8.3650169,8.1609058,18,0,0,18,18,59670,0.131496613,194.62,103,190.41,1648,0.13103
20,_19_primary_motor_cortex,M1_L,108783,8.630223817,6.1114392,11.263636,7.4465094,19,0,0,19,19,2066877,4.315111909,261.84,180.45,174.37,54361,4.3221
20,_19_primary_motor_cortex,M1_R,108783,8.630223817,6.1114392,11.263636,7.4465094,19,0,0,19,19,2066877,4.315111909,261.84,104.55,174.37,54361,4.3221
21,_20_secondary_motor_cortex,M2_L,96162,7.62894554,6.0977755,11.532407,7.6686549,20,0,0,20,20,1923240,3.81447277,268.58,164.61,179.15,47818,3.8019
21,_20_secondary_motor_cortex,M2_R,96162,7.62894554,6.0977755,11.532407,7.6686549,20,0,0,20,20,1923240,3.81447277,268.58,120.39,179.15,47818,3.8019
22,_21_medial_orbital_cortex,M0_L,20399,1.618340509,6.0987115,13.258384,6.3314424,21,0,0,21,21,428379,0.809170255,308.56,149.5,148.41,9862,0.7841
22,_21_medial_orbital_cortex,MO_R,20399,1.618340509,6.0987115,13.258384,6.3314424,21,0,0,21,21,428379,0.809170255,308.56,135.5,148.41,9862,0.7841
23,_22_medial_parietal_association_cortex,MPtA_L,6174,0.489810006,6.1608109,8.441082,8.2373323,22,0,0,22,22,135828,0.244905003,196.36,169.37,192.17,3036,0.24138
23,_22_medial_parietal_association_cortex,MPtA_R,6174,0.489810006,6.1608109,8.441082,8.2373323,22,0,0,22,22,135828,0.244905003,196.36,115.63,192.17,3036,0.24138
24,_23_parietal_cortex__posterior_area__rostral_part,PtPR_L,1400,0.111068029,6.174294,8.2681885,8.033535,23,0,0,23,23,32200,0.055534015,192.43,192.53,187.16,687,0.054621
24,_23_parietal_cortex__posterior_area__rostral_part,PtPR_R,1400,0.111068029,6.174294,8.2681885,8.033535,23,0,0,23,23,32200,0.055534015,192.43,92.469,187.16,687,0.054621
25,_24_primary_somatosensory_cortex,S1_L,11742,0.931543422,6.3122902,8.1714249,7.4788184,24,0,0,24,24,281808,0.465771711,189.93,220.29,173.91,5532,0.43983
25,_24_primary_somatosensory_cortex,S1_R,11742,0.931543422,6.3122902,8.1714249,7.4788184,24,0,0,24,24,281808,0.465771711,189.93,64.708,173.91,5532,0.43983
26,_25_primary_somatosensory_cortex__barrel_field,S1BF_L,125242,9.93598716,6.0777068,9.5570488,7.1021075,25,0,0,25,25,3131050,4.96799358,222.3,221.06,165.55,63306,5.0333
26,_25_primary_somatosensory_cortex__barrel_field,S1BF_R,125242,9.93598716,6.0777068,9.5570488,7.1021075,25,0,0,25,25,3131050,4.96799358,222.3,63.942,165.55,63306,5.0333
27,_26_primary_somatosensory_cortex__dysgranular_zone,S1DZ_L,21492,1.705052906,6.1432238,10.001691,7.4209576,26,0,0,26,26,558792,0.852526453,232.87,205.37,173.51,10633,0.8454
27,_26_primary_somatosensory_cortex__dysgranular_zone,S1DZ_R,21492,1.705052906,6.1432238,10.001691,7.4209576,26,0,0,26,26,558792,0.852526453,232.87,79.625,173.51,10633,0.8454
28,_27_primary_somatosensory_cortex__forelimb_region,S1FL_L,52514,4.166161749,6.1349897,10.430456,7.4583964,27,0,0,27,27,1417878,2.083080875,242.46,197.99,174.36,25932,2.0618
28,_27_primary_somatosensory_cortex__forelimb_region,S1FL_R,52514,4.166161749,6.1349897,10.430456,7.4583964,27,0,0,27,27,1417878,2.083080875,242.46,87.013,174.36,25932,2.0618
29,_28_primary_somatosensory_cortex__hindlimb_region,S1HL_L,42704,3.387892206,6.036108,9.8634272,7.8156304,28,0,0,28,28,1195712,1.693946103,230.35,183.72,182.49,22203,1.7653
29,_28_primary_somatosensory_cortex__hindlimb_region,S1HL_R,42704,3.387892206,6.036108,9.8634272,7.8156304,28,0,0,28,28,1195712,1.693946103,230.35,101.28,182.49,22203,1.7653
30,_29_primary_somatosensory_cortex__jaw_region,S1J_L,48878,3.877702212,6.1349845,11.948823,6.397377,29,5.52E-07,3.05E-13,29,29,1417462,1.938851106,278.04,212.72,148.93,24210,1.9249
30,_29_primary_somatosensory_cortex__jaw_region,S1J_R,48878,3.877702212,6.1349845,11.948823,6.397377,29,5.52E-07,3.05E-13,29,29,1417462,1.938851106,278.04,72.279,148.93,24210,1.9249
31,_30_primary_somatosensory_cortex__shoulder_region,S1Sh_L,2166,0.171838107,6.1380668,9.0216322,7.8779669,30,0,0,30,30,64980,0.085919054,209.88,193.44,183.8,1075,0.08547
31,_30_primary_somatosensory_cortex__shoulder_region,S1Sh_R,2166,0.171838107,6.1380668,9.0216322,7.8779669,30,0,0,30,30,64980,0.085919054,209.88,91.559,183.8,1075,0.08547
32,_31_primary_somatosensory_cortex__trunk_region,S1Tr_L,9186,0.728764936,6.1468644,8.6747065,8.088253,31,0,0,31,31,284766,0.364382468,201.81,184.29,188.64,4563,0.36279
32,_31_primary_somatosensory_cortex__trunk_region,S1Tr_R,9186,0.728764936,6.1468644,8.6747065,8.088253,31,0,0,31,31,284766,0.364382468,201.81,100.71,188.64,4563,0.36279
33,_32_primary_somatosensory_cortex__upper_lip_region,S1ULp_L,66883,5.306116393,6.1687512,10.710074,6.3870716,32,0,0,32,32,2140256,2.653058197,248.73,228.62,148.34,32925,2.6178
33,_32_primary_somatosensory_cortex__upper_lip_region,S1ULp_R,66883,5.306116393,6.1687512,10.710074,6.3870716,32,0,0,32,32,2140256,2.653058197,248.73,56.381,148.34,32925,2.6178
